Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
7		5000		254		255		13		13
8		4000		104		105		12		12
8		4000		150		151		12		13
8		4000		150		151		13		13
9		10000		249		250		12		12
9		10000		253		254		12		13
9		10000		253		254		13		13
0		10000		175		176		13		13
0		10000		179		180		13		14
0		10000		179		180		14		14
1		5000		258		259		13		13
1		5000		275		276		13		14
1		5000		275		276		14		14
2		7000		189		190		13		13
2		7000		201		202		13		14
2		7000		201		202		14		14
3		3000		255		256		13		13
3		3000		262		263		13		14
3		3000		262		263		14		14
4		3000		227		228		13		13
4		3000		230		231		13		14
4		3000		230		231		14		14
5		8000		200		201		13		13
5		8000		229		230		13		14
5		8000		229		230		14		14
6		2000		179		180		13		13
6		2000		192		193		13		14
6		2000		192		193		14		14
7		5000		254		255		13		13
7		5000		272		273		13		14
7		5000		272		273		14		14
8		4000		150		151		13		13
8		4000		163		164		13		14
8		4000		163		164		14		14
9		10000		253		254		13		13
9		10000		256		257		13		14
9		10000		256		257		14		14
0		10000		179		180		14		14
0		10000		194		195		14		15
0		10000		194		195		15		15
1		5000		275		276		14		14
1		5000		277		278		14		15
1		5000		277		278		15		15
2		7000		201		202		14		14
2		7000		249		250		14		15
2		7000		249		250		15		15
3		3000		262		263		14		14
3		3000		267		268		14		15
3		3000		267		268		15		15
4		3000		230		231		14		14
4		3000		263		264		14		15
4		3000		263		264		15		15
5		8000		229		230		14		14
5		8000		239		240		14		15
5		8000		239		240		15		15
6		2000		192		193		14		14
6		2000		199		200		14		15
6		2000		199		200		15		15
7		5000		272		273		14		14
7		5000		284		285		14		15
7		5000		284		285		15		15
8		4000		163		164		14		14
8		4000		173		174		14		15
8		4000		173		174		15		15
9		10000		256		257		14		14
9		10000		337		338		14		15
9		10000		337		338		15		15
0		10000		194		195		15		15
0		10000		198		199		15		16
0		10000		198		199		16		16
1		5000		277		278		15		15
1		5000		316		317		15		16
1		5000		316		317		16		16
2		7000		249		250		15		15
2		7000		254		255		15		16
2		7000		254		255		16		16
3		3000		267		268		15		15
3		3000		309		310		15		16
3		3000		309		310		16		16
4		3000		263		264		15		15
4		3000		274		275		15		16
4		3000		274		275		16		16
5		8000		239		240		15		15
5		8000		266		267		15		16
5		8000		266		267		16		16
6		2000		199		200		15		15
6		2000		205		206		15		16
